id,agent名,TEKO链接,体验链接,主导部门,涉及部门,项目经理,项目成员,综合评分,评委建议,特点,技术方案,部门/个人,类别,特色简介,业务价值,有价值评论,缺少字段,是否已评论
19,iDOMO：广告形态智能助手,https://teko.woa.com/event/ai-agent/19,,CDG-广告营销服务线-联盟广告部,CDG-广告营销服务线-联盟广告部,yonhonwang,"miohwang, jogu, pgqin, chenglizhai, nimomeng, kuzliu, vicyanzhang",,,,,,,,,,体验链接,否
21,智绘AI设计工作台,https://teko.woa.com/event/ai-agent/21,https://zha.woa.com/home,CSIG-信息平台与服务线-用户体验设计部,,jundabei,"samjinli, hermanzhang, javinzhong, psychewang",,,,,,,,,,,否
23,黑产智能情报感知系统,https://teko.woa.com/event/ai-agent/23,https://aml-rag.woa.com/,CDG-支付基础平台与金融应用线-反洗钱与风险控制部,,allisonzhao,"droidwen, flintqiu, kerrykli, linfapu, richardliu, yelinzhang, zekaizheng",,,,,,,,,,,否
27,AI 全链路智能测试引擎​,https://teko.woa.com/event/ai-agent/27,,CSIG-CSIG质量部,,zichaohu,"riskli, autumnhe, fxinchen, joycehong, changllliu, huginma, zzlongzhang, maybelchen",,,,,,,,,,体验链接,否
29,腾讯开悟平台,https://teko.woa.com/event/ai-agent/29,,"IEG-天美工作室群-天美L1工作室,S1-腾讯西南总部","TEG-AI平台部,子公司-实娱商管",rikkiliu,"andrewjjlin, fengjunyang, jackiehuang, jamesonwang, konthigali, lincliu, linlai, ozpintang, promengmeng, rikkiliu, yuanqinwang, yufeikuang, zhenbinye, danierdeng, frankshen, hongyangqin, jerrywzhou, jianyuheng, johnycao, jujuuhuang, linhangcai, luistao, staryding, willyang, greyjiang, hugolin, jillffli, kangwkang, phylliszhao, snailcai",,,,,,,,,,体验链接,否
30,Unity快捷资产插件,https://teko.woa.com/event/ai-agent/30,QuickAssetsPanel.unitypackage,IEG-天美工作室群-天美L1工作室,,guangruiwu,guangruiwu,,,,,,,,,,,否
43,智能运维平台,https://teko.woa.com/event/ai-agent/43,,CSIG-云技术运营服务部,,dinglimao,"usherdong, zelaszang, jennyjshi, summyzhao, jayyxxiong, williahuang, dinglimao, zorayyji",,,,,,,,,,体验链接,否
46,审核智能体项目,https://teko.woa.com/event/ai-agent/46,https://trainingless.testsite.woa.com/,PCG-PCG技术与内容平台-内容服务部,,marshao,"alanshchen, aoxiangpeng, behindli, berryding, bonzhu, cathymzhang, chancecheng, cliveclliu, cooperxshi, dlleili, druryxu, evelynppli, fordzhao, gavinjjiang, geminiguan, georgefeng, hannafeng, herbiewang, hillsong, irinali, jamiejia, jarvisluo, jasoncjxcai, jasonxchen, krystalmzhu, lierli, linyinzhou, loongliu, marshao, maxdi, mingdali, minlonglin, nanpanzou, shaowu, skylarkyun, stevenyshi, suhuangfan, susieping, yettazhang, yuyangyin, zenzhong",,,,,,,,,,,否
49,王者营地大模型助手,https://teko.woa.com/event/ai-agent/49,https://camp.qq.com/h5/webdist/redirect-app/index.html,IEG-天美工作室群-天美L1工作室,,pepeli,"dougliu, wyattwdwang, estang, rivercai, leojacklu, alcaidhuang, supeli",,,,,,,,,,,否
52,云手机 AI Agent项目,https://teko.woa.com/event/ai-agent/52,https://autoglm.zhipuai.cn/htdocs/download.html,CSIG-云产品五部,CSIG-云产品五部,hayesli,"hallyang, transcai, johnxwzhang, hayesli",,,,,,,,,,,否
59,电销AI小工具,https://teko.woa.com/event/ai-agent/59,https://adp.cloud.tencent.com/webim_exp/#/chat/SyljAi,CSIG-产业生态合作部,CSIG-政企业务运营中心,harrisxu,"ashleydong, adamycyang, adapi, amyyylin, anyonetang, billi, coffeeguo, dermotwang, elinyi, ellengli, jackwzli, kenjili, lydiahao, mikeli, mikiiwang, milymei, sandyllcai, sherlyhong, v_pfeijiang, v_rutozhang, susiefang",,,,,,,,,,,否
66,自选股智能客服agent,https://teko.woa.com/event/ai-agent/66,,CDG-支付基础平台与金融应用线-证券产品部,子公司-腾卓-证券产品部,qamrawang,"danizhang, moovyyang, jessshen, simpsonyuan, zvazhang",,,,,,,,,,体验链接,否
68,Anknow安知道智能分身平台,https://teko.woa.com/event/ai-agent/68,https://ag.woa.com,CSIG-云产品技术支持部,,keyiding,"brucellu, centonhuang, davidyiwang, divewang, garrizhang, jiaweizdeng, keyiding, kylehuang, tinyyue, titochen, tracyfyzhou, xyxiaohuang",,,,,,,,,,,否
78,联盟前端 SDK AI 助手,https://teko.woa.com/event/ai-agent/78,,CDG-广告营销服务线-联盟广告部,CDG-广告营销服务线-联盟广告部,zuoxingli,"nimomeng, yonhonwang",,,,,,,,,,体验链接,否
81,Vedas智能体,https://teko.woa.com/event/ai-agent/81,https://ai.woa.com/#/vedas/agent/home,PCG-PCG技术与内容平台-大数据平台部,,chasewen,"brucebian, chansonchen, chasewen, christruan, echooguo, elisteryang, erokchen, evanyuchen, guoweiya, hemingwei, lexliang, orlandochen, takawang, walterbai, waynemvsun, winniexli, yunyunqin, zexuanli",,,,,,,,,,,否
83,小磐SREAgent,https://teko.woa.com/event/ai-agent/83,xiaopan.woa.com,TEG-云架构平台部,TEG-云架构平台部,josenpeng,"rosenlsluo, josenpeng, jamyoungliu",,,,,,,,,,,否
84,如影DS智能助手,https://teko.woa.com/event/ai-agent/84,https://zp.woa.com/ruying-chat,PCG-在线视频BU-智能创作与内容平台部,,luciferxu,"darielhuang, emmaguo, gedoyliu, howardhfliu, jasonxchen, leowhzhang, loucasli, luciferxu, peidongliu, qinqlei, vincihuang, xiaohuizhou, yujiazhang, yvanli, yyjyu",,,,,,,,,,,否
85,无极智能开发,https://teko.woa.com/event/ai-agent/85,,PCG-PCG技术与内容平台-应用架构平台部,,vicyao,"dekuliu, iceliang, kanjian, katecjzheng, kiteuwang, luminhuang, lyonlv, maoyiluo, vicyao, vvdenniswu",,,,,,,,,,体验链接,否
92,跨境汇款门店AI数字人,https://teko.woa.com/event/ai-agent/92,,CDG-支付基础平台与金融应用线-跨境支付业务部,"CDG-支付基础平台与金融应用线-支付金融平台与数据部,TEG-多模态模型部",fitzfei,"dustinyang, dddzhang, xmagicwu, stephyli",,,,,,,,,,体验链接,否
93,QQ 成本专家,https://teko.woa.com/event/ai-agent/93,,PCG-社交平台与应用线-社交平台架构中心,,vissong,"simonhao, gavinyao, wunrrywu",,,,,,,,,,体验链接,否
102,AiX Agent,https://teko.woa.com/event/ai-agent/102,https://agent.aix.intlgame.com,IEG-IEG Global-GaaS Tech Group,,hongweiqu,"kiddwang, jijixu, xaviwang, euphrochen, homkerliu, wynterwen, defierzhang, hamorli, hanzoli, kaeming, zhenquanlin, maclerylin",,,,,,,,,,,否
105,AIGC影视后期制作agent,https://teko.woa.com/event/ai-agent/105,,PCG-在线视频BU-智能创作与内容平台部,PCG-PCG技术与内容平台-内容服务部,xinlongsun,,,,,,,,,,,"体验链接, 项目成员",否
108,云产品优化研究分析Agent,https://teko.woa.com/event/ai-agent/108,,CSIG-云产品四部,,atomzhong,"selinaywu, atomzhong, bairdcheng, danaawu, yuzhangdu",,,,,,,,,,体验链接,否
109,利用 AI 高效响应用户反馈,https://teko.woa.com/event/ai-agent/109,,PCG-社交平台与应用线-社交协作产品部,PCG-社交平台与应用线-社交协作产品部,stephantang,"stephantang, joeyguo",,,,,,,,,,体验链接,否
110,Talos智能测试,https://teko.woa.com/event/ai-agent/110,,PCG-社交平台与应用线-社区产品部,,edzhou,"nickxiao, scarlettsun, yuecongxie, edzhou, kaijiawang",,,,,,,,,,体验链接,否
111,CVM AI 助手,https://teko.woa.com/event/ai-agent/111,,CSIG-云产品一部,CSIG-云产品一部,jubaoliang,"kaioji, qitinghuang",,,,,,,,,,体验链接,否
