id,agent名,体验链接,主导部门,涉及部门,项目经理,项目成员,id_int,已评论
105,AIGC影视后期制作agent,,PCG-在线视频BU-智能创作与内容平台部,PCG-PCG技术与内容平台-内容服务部,xinlongsun,,105,False
131,微信广告ai机器人zaker,企业微信机器人搜索Zaker,CDG-广告营销服务线-微信广告部,,zakkzhang,,131,False
143,腾讯卫士举报智能助手,,TEG-客户服务部,,soorenzhang,"tenrronelli, lainzhang, jasonnhuang, aeroli, finleyshen",143,False
153,腾讯反诈助手,,TEG-客户服务部,"WXG-运营平台部,PCG-社交平台与应用线-社交安全中心",aaronke,"bertonzhou, darrenzhai, lavaliu, davigao, ervinyang, joezhzhou, tangentchen, captainwei, tingtingliu, birdhua, eddyhe, paulxie, superxiao, avazypeng, newzhao, kyoyaxu, trekzhang, miselzhang, rickzqyou, jayycai, harrisonlu, maisieluo, elonqi, jackliang, layneyu, aaronke, tiangao, adelinehu, wiillwang, qiangqiu, alisdonwang, shihaizhang, thewang, yukkiyuan, malayu, carlwen, andreewli, zerobai, opheliafeng, zhiyuanlin, forrestmao, sarahhxie, nokiawu, angelan, mingxiao, lainzhang, tenrronelli, dangedan",153,False
165,智享AI提效工具,https://zhixiang.fn.qq.com/partner/demo,CSIG-产业生态合作部,,alexeliu,"ziweiiyang, leqingli, terrazhang, kevinxjjia",165,False
184,DeepTest AI后台测试,,CSIG-CSIG质量部,CSIG-云产品一部,erweiwang,"dakeliu, yudoyu, plingjiang, kamzhang, hgersun, bobotao, allenyue, shawndyang, peterxiong, kerwinpeng, barrymbxu, hanslwang",184,False
204,证券-问 AI,自选股&微证券的“问 AI”入口（产品搜索框右侧“问 AI” 按钮）,CDG-支付基础平台与金融应用线-证券产品部,"CDG-支付基础平台与金融应用线-证券产品部,CDG-支付基础平台与金融应用线-支付金融平台与数据部",macxin,"amyminxu, caitlinchen, carvinli, clarachen, fengbincao, gradyhuang, hunterliang, ikunwang, jensonli, johnyfzhong, kaishi, kenjksong, kikochen, lavenderxie, lucasguoli, macxin, mandyding, moovyyang, noswang, rubenwang, sashalysu, silenchen, sophyang, stockzheng, weiqikang, westhu, yaelliu, yulinqiu, zenoscai, zheliang, arhatliu, benshwu, brookhe, daidaiwu, deniellelin, dockerliu, elanlin, hongyunge, jecklin, jorywang, leontong, lobbyluo, lucaslxu, maplelin, saintwen, sukeychao, tracehuang, wishliu, zeguslu, zhihuasu",204,False
219,理财通编码与测试提效Agent,,CDG-支付基础平台与金融应用线-财富管理部,CDG-支付基础平台与金融应用线-财富管理部,churongliu,"churongliu, funnyren, jasonpeng, kimsu, walkeryang, remyzhang",219,False
240,更懂你的助手-轻量云AI助手,https://console.cloud.tencent.com/lighthouse/instance/index,CSIG-云产品一部,,ceylancao,"beginning, burnellliu, dannykong, kevinchou, pablozhong, verayqwang, yiyyli",240,False
27,AI 全链路智能测试引擎​,,CSIG-CSIG质量部,,zichaohu,"riskli, autumnhe, fxinchen, joycehong, changllliu, huginma, zzlongzhang, maybelchen",27,False
270,广告工程智能助理Cyber,https://versa.woa.com/strategy/cyberbot,CDG-广告营销服务线-广告工程部,,yvanwang,"biyuefan, chaseyye, dereklzhang, finchen, huyanazhang, joeyzyli, lijingwang, mikaelchen, poseidonxu, sevenzheng, xiaoheiluo, muskma",270,False
287,智研服务洞察助手,,CDG-广告营销服务线-商业平台部,,nichotang,"felixwwang, gatesma",287,False
299,AiSee日志分析小助手,https://aisee.woa.com/admin/p-a6ae25e3-fca6-3ad9-8b46-04148c919e1e/b-af298735-17c9-31e6-b0a6-2a05843aff16/32a2a0e053/overview?ref=agent&ref_type=rizhi,PCG-PCG技术与内容平台-工程效能平台部,,jiyuanliu,"anasiazhang, hangwinlin, jiyuanliu, jrluo, lucalai, miphazhang, rekylli",299,False
320,BrandTalking,,PCG-PCG技术与内容平台-工程效能平台部,,miphazhang,runpenzhang,320,False
347,视频结构化理解联合项目,,PCG-PCG技术与内容平台-应用研究中心,"CSIG-搜索应用部,CSIG-元宝产品部,PCG-PCG技术与内容平台-大数据平台部,TEG-机器学习平台部,TEG-多模态模型部",wybertwang,,347,False
357,合规智能助手,https://ag.woa.com/?agentId=980,CSIG-安全产品二部,,ivyrxie,"andrewxxie, harleeyyli, ivyrxie, michaelnie, ooliviazhou, xiaolinglin, yaroyi, zhouppeng, neloliu",357,False
367,历史代码工程的wiki实践,,CDG-支付基础平台与金融应用线-支付金融平台与数据部,,haruntian,"rockyqiu, hongjiechen, lucameng",367,False
396,Feedback Hawk,,WXG-企业微信应用部,,derekliao,"ivanxfjiang, steephenliu",396,False
411,视觉创作Agent,,TEG-多模态模型部,,angelqlin,"keizu, alexqchen, angelqlin, carsonzhao, conglianxie, harryshan, ikeedeng, jackerli, jinxianglai, jonnyguo, lebronhe, origamiwang, qinyuqyyang, rongweiquan, selenecyli, yangqiniu, zexinlu, xiaowenyin",411,False
431,广告业务大盘助手,,CDG-广告营销服务线-商业运管部,CDG-广告营销服务线-商业运管部,hermanzeng,"joymanhuang, alanzhren, sidneychen, leslieelin",431,False
451,AI迁云工具,,CSIG-政企客户成功中心,,graceyliu,vurtyan,451,False
460,AI智能专题,https://hot.woa.com/big-event-thing,PCG-PCG技术与内容平台-内容服务部,,kaiyuancui,"v_hlqhe, yuyjin, samtihuang, plunckpeng, shirleylai, maggiedu, allenzhwli, bonnieryli, axiezheng, jasonxchen",460,False
49,王者营地大模型助手,https://camp.qq.com/h5/webdist/redirect-app/index.html,IEG-天美工作室群-天美L1工作室,,pepeli,"dougliu, wyattwdwang, estang, rivercai, leojacklu, alcaidhuang, supeli",49,False
496,安全问答助手,,PCG-社交平台与应用线-社交安全中心,,alanpfhu,"jinghaoyan, janetpwang, shaunbian, aydentang, whalechen",496,False
526,网络报文智能分析,https://pcapagent.woa.com,TEG-网络平台部,"TEG-网络平台部,CSIG-云技术运营服务部",claudexie,"brucecli, claudyuan, maozhou, nobugliu, vincentbbli, zachzzhou",526,False
571,腾讯频道问问Agent,,PCG-社交平台与应用线-社区产品部,,nickxiao,,571,False
595,X5灵析助手,,CSIG-信息平台与服务线-平台产品部,,normanchen,"wanggao, perryuwang, dafuyao",595,False
619,PM数智人,,CSIG-政企客户成功中心,,feizhuang,aleexjiang,619,False
68,Anknow安知道智能分身平台,https://ag.woa.com,CSIG-云产品技术支持部,,keyiding,"brucellu, centonhuang, davidyiwang, divewang, garrizhang, jiaweizdeng, keyiding, kylehuang, tinyyue, titochen, tracyfyzhou, xyxiaohuang",68,False
698,DcData数据分析助手,"xxxx,数据敏感",TEG-IDC平台部,,yinggan,"ukieeeyi, lynnlong, xincili",698,False
726,草场地智能客服agent,https://mall.video.qq.com/ecommerce/ai-chat?hidetitlebar=1&immersive=2&entranceType=1,PCG-在线视频BU-在线视频商业化部,,kacychen,"alicezou, runhaolu, kathyzhou",726,False
754,FinAIEval金模判官,,CDG-支付基础平台与金融应用线-支付金融平台与数据部,TEG-数据平台部,elizaliang,"benshwu, mtyytang, suminhe, yaxinxu, alinasyylu, dylannlu, jakkzhang",754,False
778,linda测试,,TEG-运营管理部,,lindaluan,,778,False
789,和平赛场智能助手,,IEG-IEG品牌与数字生态营销部,,gertrudezou,"guowangyang, dixonwang",789,False
796,设计稿转代码D2C,https://mobile.woa.com/d2c-front/,IEG-IEG品牌与数字生态营销部,,junshao,"wellhuang, vonnieli, lauheeliu, janfzhao, guowangyang, bruceren, alvinxu, alltasxiao, yuiqin",796,False
809,新闻内容质量AI,,PCG-腾讯新闻-新闻工程研发部,PCG-腾讯新闻-新闻平台业务部,kufazhang,"joesonqiao, djeozhang, xuejinghou, robinhzhang, maxba, masonjhchen, wanlicheng, felixmu, mosun, thomasdu, tomqian, bobzhao",809,False
817,大模型自动化红队 Agent,,WXG-运营平台部,,bengiojiang,"bojiehu, vigorshen",817,False
831,​​易链灵构,https://test.woa.com/,TEG-客户服务部,,chaseliu,"chaycao, paultaowang, rockpeng, jianboduan, dickzhou, linklin, holgerhuang, maoxiangwei, phantommlin, shiliwang, sawadajiang, yinghaozhu, markfang, smileshang",831,False
84,如影DS智能助手,https://zp.woa.com/ruying-chat,PCG-在线视频BU-智能创作与内容平台部,,luciferxu,"darielhuang, emmaguo, gedoyliu, howardhfliu, jasonxchen, leowhzhang, loucasli, luciferxu, peidongliu, qinqlei, vincihuang, xiaohuizhou, yujiazhang, yvanli, yyjyu",84,False
861,Agent Memory,,CSIG-云产品一部,,jimmydai,"feiwu, lynzou, kentyhuang, junfengyu",861,True
883,文旅行业agent,,CSIG-地图平台部,,maggieylye,,883,False
926,智能AI营销图生成,,CDG-支付基础平台与金融应用线-跨境支付业务部,,leonwhliu,"xmagicwu, dddzhang",926,False
950,TencentOS内核漏洞修复,,TEG-安全平台部,TEG-云架构平台部,levonyang,"louisllv, scottzhguo, deltazhang, loywang, rongzhencao, kanshanxu",950,True
973,EGA智能起量系统,,CDG-广告营销服务线-商业推荐部,,jeremydong,"bridgetchen, alanjftong, arthurhzhu",973,False
995,智能问数智能体,,"CSIG-通途数据中心,CSIG-CSIG质量部","CSIG-通途数据中心,CSIG-CSIG质量部",ljmengliu,"zyongzhao, ptingli, jevonguo, jensenwei, georgeliao, carlxyzhang, magyang, adnanchen",995,False
1012,数据库知识Agent,,CSIG-云产品一部,,dirkjin,"kiwixiong, yeeechen, lawrencexie, averiewang, aleronwang, wlleiiwang, lynzou",1012,False
