id,agent名,缺少字段
105,AIGC影视后期制作agent,"体验链接, 项目成员"
131,微信广告ai机器人zaker,项目成员
143,腾讯卫士举报智能助手,体验链接
153,腾讯反诈助手,体验链接
184,DeepTest AI后台测试,体验链接
219,理财通编码与测试提效Agent,体验链接
27,AI 全链路智能测试引擎​,体验链接
287,智研服务洞察助手,体验链接
320,BrandTalking,体验链接
347,视频结构化理解联合项目,"体验链接, 项目成员"
367,历史代码工程的wiki实践,体验链接
396,Feedback Hawk,体验链接
411,视觉创作Agent,体验链接
431,广告业务大盘助手,体验链接
451,AI迁云工具,体验链接
496,安全问答助手,体验链接
571,腾讯频道问问Agent,"体验链接, 项目成员"
595,X5灵析助手,体验链接
619,PM数智人,体验链接
754,FinAIEval金模判官,体验链接
778,linda测试,"体验链接, 项目成员"
789,和平赛场智能助手,体验链接
809,新闻内容质量AI,体验链接
817,大模型自动化红队 Agent,体验链接
861,Agent Memory,体验链接
883,文旅行业agent,"体验链接, 项目成员"
926,智能AI营销图生成,体验链接
950,TencentOS内核漏洞修复,体验链接
973,EGA智能起量系统,体验链接
995,智能问数智能体,体验链接
1012,数据库知识Agent,体验链接
108,云产品优化研究分析Agent,体验链接
134,电销运营提效,"体验链接, 项目成员"
146,影视素材智能剪辑agent,体验链接
156,商户平台智能开发,"体验链接, 项目成员"
209,数据自动化发布助手agent,体验链接
220,OlaSQL,体验链接
248,AI战报,"体验链接, 项目成员"
29,腾讯开悟平台,体验链接
290,业务安全AI蓝军Agent,体验链接
302,Lumos AI,"体验链接, 项目成员"
330,小北助手*北东区助销agent,体验链接
351,大禹营销创意素材生成Agent,体验链接
400,AiX,体验链接
415,EplusChat AI助手,体验链接
453,云镜台,体验链接
463,tapd需求分析助手,项目成员
577,PCAD数询助手,体验链接
608,微信客服线索获客会话智能体,体验链接
664,企微智能机器人,体验链接
701,秒剪广告制作 agent,体验链接
766,视频号智能合集,"体验链接, 项目成员"
779,赛宝对局问题定位agent,体验链接
797,智研全链路可观测 Agent,体验链接
810,赛事邀请码agent,项目成员
820,运营小助手,"体验链接, 项目成员"
832,单测生成Agent,体验链接
85,无极智能开发,体验链接
913,AI抽奖配置师,"体验链接, 项目成员"
928,免广告券Helper,体验链接
941,tRPC项目级AI代码生成,体验链接
952,支付平台AI研发助手,体验链接
982,webAssistant,"体验链接, 项目成员"
999,特征检索agent,体验链接
110,Talos智能测试,体验链接
148,COS迁移AI工作流,体验链接
161,AI智享提效工具,体验链接
168,LangData-ChatBI,项目成员
177,智投广告投放 AIM+,体验链接
231,小O数智员工-经营管理助手,"体验链接, 项目成员"
253,智能API助手,体验链接
295,和平精英绿洲开发AI助手,体验链接
353,云手机+ AI agent,体验链接
365,英雄联盟手游-智能化AI指导,体验链接
385,AI Agent开户审核,"体验链接, 项目成员"
408,研发预算智能问数,体验链接
419,企鹅教师创意教学Agent,体验链接
43,智能运维平台,体验链接
457,QQ AI+DS,"体验链接, 项目成员"
474,QQ浏览器AI学术助理,体验链接
505,安兔AI助手,体验链接
565,腾讯位置服务开发者分析专家,体验链接
584,用户问题智能定位,体验链接
616,AI CLI Agent,体验链接
693,CPS商品营销智能体,体验链接
708,微信输入法表情包创作agent,体验链接
794,新人助手agent,项目成员
814,企业微信AI搜索,"体验链接, 项目成员"
825,Data Agent,体验链接
854,【微信蓝包】AI选礼物助手,体验链接
875,多尺寸扩图agent,体验链接
923,AI智能评测文档预览效果,"体验链接, 项目成员"
93,QQ 成本专家,体验链接
933,网页智能埋点工具,体验链接
989,广告转化链路识别智能体,"体验链接, 项目成员"
1008,拾光回忆录,体验链接
111,CVM AI 助手,体验链接
130,腾讯开悟平台使用答疑小助手,"体验链接, 项目成员"
149,多模态 AI 翻译及应用,体验链接
164,AI自动写测试代码,体验链接
170,AI验证码,体验链接
198,AI销售助手,体验链接
256,开发专家agent,"体验链接, 项目成员"
284,领航员TAB-Navi,体验链接
313,轻量云 AI 助手智能规划,"体验链接, 项目成员"
344,小店广告客户增长Agent,体验链接
354,UGC运营助手,体验链接
366,ai军师,"体验链接, 项目成员"
390,王者荣耀灵宝端外智能体,"体验链接, 项目成员"
410,推理回廊,体验链接
425,ALADIN一站式AI测试实践,体验链接
570,游戏账号画像分析,体验链接
594,腾讯新闻AI CR智能平台,体验链接
617,实验助手Agent,体验链接
66,自选股智能客服agent,体验链接
721,GOG智能分析平台,体验链接
815,企业微信智能总结,"体验链接, 项目成员"
827,营销AI组合,体验链接
859,微信公众号AI配图,体验链接
882,研发全流程提效 Agent,体验链接
907,腾讯招聘AI-面试助手,体验链接
937,现网问题排查小助手,"体验链接, 项目成员"
972,瓦力 - AI 编程助手,项目成员
1005,TCE接入Agent,体验链接
109,利用 AI 高效响应用户反馈,体验链接
147,模型实验一体化分析助手Aly,体验链接
157,A.I.G红队安全测试平台,体验链接
176,AI驱动风控智能研发,体验链接
19,iDOMO：广告形态智能助手,体验链接
226,王者荣耀指挥官模式AI陪玩,体验链接
251,AI内容评测,体验链接
352,微信小店智能客服联合项目,"体验链接, 项目成员"
364,购物助手,体验链接
377,AI高考通,"体验链接, 项目成员"
438,位置服务AI助手,体验链接
454,SSV研发工作流AI提效实践,体验链接
472,邮箱奇美拉翻译,体验链接
501,PlayStore Pilot,体验链接
548,TDebug Agent,"体验链接, 项目成员"
583,AI 生成智能表和仪表盘,体验链接
597,腾讯新闻商业化智能AI助手,体验链接
685,ai播客,"体验链接, 项目成员"
707,微信输入法表情包创作agent,体验链接
767,青鸟系统-营销宣传合规审查工具,体验链接
78,联盟前端 SDK AI 助手,体验链接
782,ima-agent任务模式,"体验链接, 项目成员"
811,大模型安全自动评估 Agent,体验链接
837,AI下载助理,体验链接
887,高价值弹幕AI挖掘助手,体验链接
92,跨境汇款门店AI数字人,体验链接
1030,叮-位置服务售前专家agant,体验链接
1054,叮小灵,体验链接
1078,出海合规助手,体验链接
1097,供应订单智能运维平台,体验链接
1036,门店通—门店营销AI助手,体验链接
1061,智能营销助理,"体验链接, 项目成员"
1076,计算运营数据AI助手,体验链接
1083,鹅厂党建小助手,"体验链接, 项目成员"
1096,万人大会线上体验agent,体验链接
1025,设计稿→可合并代码，AI全流程,"体验链接, 项目成员"
1047,T-Audit,体验链接
1060,客诉分析agent,体验链接
1068,私有云文档写作助手,体验链接
1081,王者共创投稿AI审核,体验链接
1094,天御金融反电信网络诈骗智能体,体验链接
1021,视频号文案红点爆款审核提效,体验链接
1042,无人值守AI智能助手,体验链接
1057,TCase测试智能,体验链接
1064,悟空代码安全Agent—简化版,体验链接
1079,智能文档审查系统,体验链接
1089,QQ浏览器信息流AI评论,体验链接
1103,工蜂 AI CR Agent,"体验链接, 项目成员"
1043,客诉智能分析平台,体验链接
1067,AI PPT,体验链接
1186,影视素材智能剪辑agent,"体验链接, 项目成员"
1184,忍者企鹅AI,体验链接
1182,广告人群挖掘助手,体验链接
1176,DataPocket数据智能,体验链接
1169,合规检测GUI Agent,体验链接
1168,With,体验链接
1165,支付凭证验真Agent,"体验链接, 项目成员"
1156,数据标准化-maas大模型版本,体验链接
1157,数据标准化-maas大模型版本,体验链接
