id,agent名,主导部门,项目经理,体验链接
105,AIGC影视后期制作agent,PCG-在线视频BU-智能创作与内容平台部,xinlongsun,
131,微信广告ai机器人zaker,CDG-广告营销服务线-微信广告部,zakkzhang,企业微信机器人搜索Zaker
143,腾讯卫士举报智能助手,TEG-客户服务部,soorenzhang,
153,腾讯反诈助手,TEG-客户服务部,aaronke,
165,智享AI提效工具,CSIG-产业生态合作部,alexeliu,https://zhixiang.fn.qq.com/partner/demo
184,DeepTest AI后台测试,CSIG-CSIG质量部,erweiwang,
204,证券-问 AI,CDG-支付基础平台与金融应用线-证券产品部,macxin,自选股&微证券的“问 AI”入口（产品搜索框右侧“问 AI” 按钮）
219,理财通编码与测试提效Agent,CDG-支付基础平台与金融应用线-财富管理部,churongliu,
240,更懂你的助手-轻量云AI助手,CSIG-云产品一部,ceylancao,https://console.cloud.tencent.com/lighthouse/instance/index
27,AI 全链路智能测试引擎​,CSIG-CSIG质量部,zichaohu,
270,广告工程智能助理Cyber,CDG-广告营销服务线-广告工程部,yvanwang,https://versa.woa.com/strategy/cyberbot
287,智研服务洞察助手,CDG-广告营销服务线-商业平台部,nichotang,
299,AiSee日志分析小助手,PCG-PCG技术与内容平台-工程效能平台部,jiyuanliu,https://aisee.woa.com/admin/p-a6ae25e3-fca6-3ad9-8b46-04148c919e1e/b-af298735-17c9-31e6-b0a6-2a05843aff16/32a2a0e053/overview?ref=agent&ref_type=rizhi
320,BrandTalking,PCG-PCG技术与内容平台-工程效能平台部,miphazhang,
347,视频结构化理解联合项目,PCG-PCG技术与内容平台-应用研究中心,wybertwang,
357,合规智能助手,CSIG-安全产品二部,ivyrxie,https://ag.woa.com/?agentId=980
367,历史代码工程的wiki实践,CDG-支付基础平台与金融应用线-支付金融平台与数据部,haruntian,
396,Feedback Hawk,WXG-企业微信应用部,derekliao,
411,视觉创作Agent,TEG-多模态模型部,angelqlin,
431,广告业务大盘助手,CDG-广告营销服务线-商业运管部,hermanzeng,
451,AI迁云工具,CSIG-政企客户成功中心,graceyliu,
460,AI智能专题,PCG-PCG技术与内容平台-内容服务部,kaiyuancui,https://hot.woa.com/big-event-thing
49,王者营地大模型助手,IEG-天美工作室群-天美L1工作室,pepeli,https://camp.qq.com/h5/webdist/redirect-app/index.html
496,安全问答助手,PCG-社交平台与应用线-社交安全中心,alanpfhu,
526,网络报文智能分析,TEG-网络平台部,claudexie,https://pcapagent.woa.com
571,腾讯频道问问Agent,PCG-社交平台与应用线-社区产品部,nickxiao,
595,X5灵析助手,CSIG-信息平台与服务线-平台产品部,normanchen,
619,PM数智人,CSIG-政企客户成功中心,feizhuang,
68,Anknow安知道智能分身平台,CSIG-云产品技术支持部,keyiding,https://ag.woa.com
698,DcData数据分析助手,TEG-IDC平台部,yinggan,"xxxx,数据敏感"
726,草场地智能客服agent,PCG-在线视频BU-在线视频商业化部,kacychen,https://mall.video.qq.com/ecommerce/ai-chat?hidetitlebar=1&immersive=2&entranceType=1
754,FinAIEval金模判官,CDG-支付基础平台与金融应用线-支付金融平台与数据部,elizaliang,
778,linda测试,TEG-运营管理部,lindaluan,
789,和平赛场智能助手,IEG-IEG品牌与数字生态营销部,gertrudezou,
796,设计稿转代码D2C,IEG-IEG品牌与数字生态营销部,junshao,https://mobile.woa.com/d2c-front/
809,新闻内容质量AI,PCG-腾讯新闻-新闻工程研发部,kufazhang,
817,大模型自动化红队 Agent,WXG-运营平台部,bengiojiang,
831,​​易链灵构,TEG-客户服务部,chaseliu,https://test.woa.com/
84,如影DS智能助手,PCG-在线视频BU-智能创作与内容平台部,luciferxu,https://zp.woa.com/ruying-chat
883,文旅行业agent,CSIG-地图平台部,maggieylye,
926,智能AI营销图生成,CDG-支付基础平台与金融应用线-跨境支付业务部,leonwhliu,
973,EGA智能起量系统,CDG-广告营销服务线-商业推荐部,jeremydong,
995,智能问数智能体,"CSIG-通途数据中心,CSIG-CSIG质量部",ljmengliu,
1012,数据库知识Agent,CSIG-云产品一部,dirkjin,
108,云产品优化研究分析Agent,CSIG-云产品四部,atomzhong,
117,DataBrain Agent,IEG-IEG Global-Data&AI Group,miamgao,https://databrain.woa.com/agent
134,电销运营提效,CSIG-产业生态合作部,coffeeguo,
146,影视素材智能剪辑agent,PCG-在线视频BU-智能创作与内容平台部,chanzhou,
